13
3000, 300, 1/3/2021, 
3000, 350, 2/4/2021, 
3000, 400, 3/5/2021, 
3000, 400, 1/6/2021, 
3000, 500, 2/7/2021, 
3000, 450, 1/8/2021, 
3000, 350, 5/9/2021, 
3000, 600, 1/10/2021, 
3000, 550, 6/11/2021, 
3000, 650, 1/12/2021, 
3000, 600, 2/1/2022, 
3000, 400, 2/2/2022, 
3000, 500, 1/3/2022, 
13
2500, 600, 2/3/2021, 
2500, 650, 1/4/2021, 
2500, 500, 1/5/2021, 
2500, 700, 3/6/2021, 
2500, 550, 1/7/2021, 
2500, 500, 7/8/2021, 
2500, 650, 1/9/2021, 
2500, 800, 1/10/2021, 
2500, 600, 2/11/2021, 
2500, 750, 1/12/2021, 
2500, 550, 1/1/2022, 
2500, 650, 3/2/2022, 
2500, 700, 1/3/2022, 
13
4000, 200, 1/3/2021, 
4000, 250, 1/4/2021, 
4000, 300, 2/5/2021, 
4000, 300, 1/6/2021, 
4000, 400, 1/7/2021, 
4000, 250, 1/8/2021, 
4000, 250, 2/9/2021, 
4000, 400, 1/10/2021, 
4000, 350, 4/11/2021, 
4000, 500, 1/12/2021, 
4000, 300, 3/1/2022, 
4000, 450, 1/2/2022, 
4000, 400, 3/3/2022, 
13
3000, 400, 1/3/2021, 
3000, 450, 1/4/2021, 
3000, 300, 2/5/2021, 
3000, 500, 1/6/2021, 
3000, 550, 1/7/2021, 
3000, 450, 2/8/2021, 
3000, 350, 1/9/2021, 
3000, 300, 3/10/2021, 
3000, 550, 1/11/2021, 
3000, 550, 2/12/2021, 
3000, 400, 1/1/2022, 
3000, 450, 1/2/2022, 
3000, 550, 5/3/2022, 
13
3000, 600, 2/3/2021, 
3000, 450, 1/4/2021, 
3000, 500, 1/5/2021, 
3000, 300, 1/6/2021, 
3000, 450, 3/7/2021, 
3000, 500, 1/8/2021, 
3000, 450, 2/9/2021, 
3000, 450, 1/10/2021, 
3000, 550, 1/11/2021, 
3000, 500, 5/12/2021, 
3000, 600, 1/1/2022, 
3000, 350, 1/2/2022, 
3000, 300, 3/3/2022, 
